ENSMUSG00000002458.13 Rgs19
ENSMUSG00000002459.17 Rgs20
ENSMUSG00000002475.15 Abhd3
ENSMUSG00000002477.4 Snrpd1
ENSMUSG00000002486.15 Tchp
ENSMUSG00000002489.15 Tiam1
ENSMUSG00000002496.9 Tsc2
ENSMUSG00000002500.15 Rpl3l
ENSMUSG00000002504.14 Slc9a3r2
ENSMUSG00000002524.15 Puf60
ENSMUSG00000002546.16 Golga2
ENSMUSG00000002550.16 Uck1
ENSMUSG00000002565.16 Scin
ENSMUSG00000002578.17 Ikzf4
ENSMUSG00000002580.7 Mien1
ENSMUSG00000002588.12 Pon1
ENSMUSG00000002602.16 Axl
ENSMUSG00000002603.15 Tgfb1
ENSMUSG00000002608.8 Ccdc97
ENSMUSG00000002617.14 Zfp40
ENSMUSG00000002625.9 Akap8l
ENSMUSG00000002633.4 Shh
ENSMUSG00000002635.11 Pdcd2l
ENSMUSG00000002658.9 Gtf2f1
ENSMUSG00000002660.7 Clpp
ENSMUSG00000002661.14 Alkbh7
ENSMUSG00000002664.2 Pspn
ENSMUSG00000002668.7 Dennd1c
ENSMUSG00000002679.14 Med6
ENSMUSG00000002688.8 Prkd1
ENSMUSG00000002699.13 Lcp2
ENSMUSG00000002718.14 Cse1l
ENSMUSG00000002728.14 Naa20
ENSMUSG00000002731.6 Prkra
ENSMUSG00000002732.14 Fkbp7
ENSMUSG00000002733.8 Plekha3
ENSMUSG00000002741.9 Ykt6
ENSMUSG00000002748.7 Baz1b
ENSMUSG00000002763.16 Pex6
ENSMUSG00000002767.13 Mrpl2
ENSMUSG00000002768.7 Mea1
ENSMUSG00000002769.8 Gnmt
ENSMUSG00000002771.12 Grin2d
ENSMUSG00000002778.14 Kdelr1
ENSMUSG00000002781.19 Tmem143
ENSMUSG00000002791.16 Pdxk-ps
ENSMUSG00000002797.9 Ggct
ENSMUSG00000002799.6 Jag2
ENSMUSG00000002803.14 Btbd6
ENSMUSG00000002804.4 Nudt14
ENSMUSG00000002808.7 Epdr1
ENSMUSG00000002812.4 Flii
ENSMUSG00000002814.15 Top3a
ENSMUSG00000002820.6 Atg4d
ENSMUSG00000002825.7 Qtrt1
ENSMUSG00000002831.13 Plin4
ENSMUSG00000002833.11 Hdgfl2
ENSMUSG00000002835.8 Chaf1a
ENSMUSG00000002844.8 Adprh
ENSMUSG00000002845.14 Tmem39a
ENSMUSG00000002846.9 Timmdc1
ENSMUSG00000002847.6 Pla1a
ENSMUSG00000002870.8 Mcm2
ENSMUSG00000002871.14 Tpra1
ENSMUSG00000002881.14 Nab1
ENSMUSG00000002885.14 Adgre5
ENSMUSG00000002897.5 Il17ra
ENSMUSG00000002900.16 Lamb1
ENSMUSG00000002908.17 Kcnn1
ENSMUSG00000002910.11 Arrdc2
ENSMUSG00000002930.6 Ppp1r17
ENSMUSG00000002944.15 Cd36
ENSMUSG00000002948.19 Map2k7
ENSMUSG00000002949.15 Timm44
ENSMUSG00000002957.11 Ap2a2
ENSMUSG00000002963.17 Pnkp
ENSMUSG00000002968.8 Med25
ENSMUSG00000002980.14 Bcam
ENSMUSG00000002981.10 Clptm1
ENSMUSG00000002983.17 Relb
ENSMUSG00000002984.17 Tomm40
ENSMUSG00000002985.16 Apoe
ENSMUSG00000002992.17 Apoc2
ENSMUSG00000002996.17 Hbp1
ENSMUSG00000002997.15 Prkar2b
ENSMUSG00000003031.14 Cdkn1b
ENSMUSG00000003032.8 Klf4
ENSMUSG00000003033.15 Ap1m1
ENSMUSG00000003037.16 Rab8a
ENSMUSG00000003038.15 Hmgn2
ENSMUSG00000003039.9 Fam32a
ENSMUSG00000003051.13 Elf3
ENSMUSG00000003053.17 Cyp2c29
ENSMUSG00000003062.13 Stard3nl
ENSMUSG00000003068.16 Stk11
ENSMUSG00000003070.6 Efna2
ENSMUSG00000003072.15 Atp5d
ENSMUSG00000003099.11 Ppp5c
ENSMUSG00000003119.14 Cdk12
ENSMUSG00000003123.15 Lipe
ENSMUSG00000003131.7 Pafah1b2
ENSMUSG00000003134.10 Tbc1d8
ENSMUSG00000003135.15 Cnot11
ENSMUSG00000003153.10 Slc2a3
ENSMUSG00000003154.15 Foxj2
ENSMUSG00000003161.15 Sri
ENSMUSG00000003166.19 Dgcr2
ENSMUSG00000003184.15 Irf3
ENSMUSG00000003190.12 Bcl2l12
